연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2017,12,읍면동,경기도 과천시 부림동,10456,687,1361,1567,1176,1793,1982,981,544,321,41,3,5081,356,713,826,593,803,986,472,221,99,12,0,5375,331,648,741,583,990,996,509,323,222,29,3
2017,12,읍면동,경기도 과천시 중앙동,6869,448,767,1106,713,1004,1325,747,424,258,65,12,3311,251,405,580,331,438,636,377,174,100,16,3,3558,197,362,526,382,566,689,370,250,158,49,9
2017,12,시군,경기도 광명시 ,332790,30358,36483,42946,50804,59987,53218,33950,17310,6725,895,114,164878,15602,18815,22566,25458,29926,26268,16342,7558,2114,205,24,167912,14756,17668,20380,25346,30061,26950,17608,9752,4611,690,90
2017,12,읍면동,경기도 광명시 광명1동,13794,847,1280,2018,1957,2202,2415,1721,958,357,36,3,6876,446,687,1097,1056,1099,1157,811,372,141,10,0,6918,401,593,921,901,1103,1258,910,586,216,26,3
2017,12,읍면동,경기도 광명시 광명2동,10946,607,918,1530,1517,1696,2043,1462,853,285,32,3,5368,305,448,801,835,845,986,650,384,102,12,0,5578,302,470,729,682,851,1057,812,469,183,20,3
2017,12,읍면동,경기도 광명시 광명3동,10156,499,720,1455,1468,1578,1885,1422,825,269,28,7,4929,256,374,753,758,779,915,615,373,95,8,3,5227,243,346,702,710,799,970,807,452,174,20,4
2017,12,읍면동,경기도 광명시 광명4동,14857,925,1149,2082,2344,2253,2579,2058,1078,318,55,16,7248,472,563,1098,1213,1106,1217,969,483,112,11,4,7609,453,586,984,1131,1147,1362,1089,595,206,44,12
2017,12,읍면동,경기도 광명시 광명5동,15407,1234,1546,1915,2297,2710,2525,1785,981,372,37,5,7653,619,812,1046,1184,1399,1206,839,433,110,4,1,7754,615,734,869,1113,1311,1319,946,548,262,33,4
2017,12,읍면동,경기도 광명시 광명6동,14692,1339,1491,1899,2121,2506,2468,1656,855,302,48,7,7262,659,764,974,1052,1280,1218,819,388,93,14,1,7430,680,727,925,1069,1226,1250,837,467,209,34,6
2017,12,읍면동,경기도 광명시 광명7동,20342,1381,2071,2866,2918,3212,3629,2554,1220,431,54,6,10256,687,1094,1553,1562,1623,1766,1252,562,146,11,0,10086,694,977,1313,1356,1589,1863,1302,658,285,43,6
2017,12,읍면동,경기도 광명시 소하1동,32353,3698,4345,3693,4519,6425,4720,3009,1338,522,68,16,15958,1894,2260,1935,2092,3181,2330,1484,617,148,13,4,16395,1804,2085,1758,2427,3244,2390,1525,721,374,55,12
2017,12,읍면동,경기도 광명시 소하2동,38568,3966,4158,5138,6251,6781,5929,3701,1875,672,87,10,19503,2050,2116,2778,3200,3513,2984,1783,839,215,21,4,19065,1916,2042,2360,3051,3268,2945,1918,1036,457,66,6
2017,12,읍면동,경기도 광명시 철산1동,13747,1436,1736,1771,2068,2705,2113,1117,537,224,40,0,6801,740,888,930,992,1314,1066,547,239,78,7,0,6946,696,848,841,1076,1391,1047,570,298,146,33,0
2017,12,읍면동,경기도 광명시 철산2동,15909,910,1462,2562,2480,2611,3029,1689,796,332,34,4,8112,486,776,1353,1320,1307,1564,835,362,97,11,1,7797,424,686,1209,1160,1304,1465,854,434,235,23,3
2017,12,읍면동,경기도 광명시 철산3동,35999,3729,4764,4676,4912,6933,5773,3142,1378,588,95,9,17726,1923,2453,2405,2287,3343,2837,1618,629,202,28,1,18273,1806,2311,2271,2625,3590,2936,1524,749,386,67,8
2017,12,읍면동,경기도 광명시 철산4동,14385,1349,1396,1862,2682,2587,2132,1430,693,227,26,1,7207,693,744,972,1364,1317,1054,687,296,76,4,0,7178,656,652,890,1318,1270,1078,743,397,151,22,1
2017,12,읍면동,경기도 광명시 하안1동,27642,3160,3428,3339,3815,5500,4384,2394,1104,435,78,5,13889,1642,1757,1810,1794,2783,2237,1222,507,124,12,1,13753,1518,1671,1529,2021,2717,2147,1172,597,311,66,4
2017,12,읍면동,경기도 광명시 하안2동,15491,1583,1514,1718,3233,2939,2006,1283,740,415,52,8,7429,801,756,845,1646,1462,945,569,287,103,13,2,8062,782,758,873,1587,1477,1061,714,453,312,39,6
2017,12,읍면동,경기도 광명시 하안3동,22386,2164,2413,2580,3656,4117,3206,2230,1312,621,81,6,10680,1120,1249,1282,1822,2005,1563,992,467,163,17,0,11706,1044,1164,1298,1834,2112,1643,1238,845,458,64,6
2017,12,읍면동,경기도 광명시 하안4동,13736,1441,1968,1612,2289,2964,1875,855,493,213,25,1,6665,760,1004,799,1121,1410,935,400,181,49,6,0,7071,681,964,813,1168,1554,940,455,312,164,19,1
2017,12,읍면동,경기도 광명시 학온동,2380,90,124,230,277,268,507,442,274,142,19,7,1316,49,70,135,160,160,288,250,139,60,3,2,1064,41,54,95,117,108,219,192,135,82,16,5
2017,12,시군,경기도 광주시 ,345947,35309,33575,40916,58580,60803,55804,35880,17775,6268,965,72,177521,18127,17312,21493,30738,32223,28566,18124,8487,2241,189,21,168426,17182,16263,19423,27842,28580,27238,17756,9288,4027,776,51
2017,12,읍면동,경기도 광주시 경안동,40855,3868,4322,5405,6240,7367,6890,4004,1974,680,90,15,20868,1999,2226,2841,3228,3825,3593,1987,909,241,13,6,19987,1869,2096,2564,3012,3542,3297,2017,1065,439,77,9
2017,12,읍면동,경기도 광주시 곤지암읍,23191,1687,2233,2845,2999,4028,4447,2746,1462,626,99,19,12309,880,1168,1574,1611,2220,2416,1480,699,233,23,5,10882,807,1065,1271,1388,1808,2031,1266,763,393,76,14
2017,12,읍면동,경기도 광주시 광남동,54929,6644,5769,6058,9817,10190,8128,5113,2360,734,112,4,28051,3403,2998,3091,5037,5377,4111,2571,1173,268,20,2,26878,3241,2771,2967,4780,4813,4017,2542,1187,466,92,2
2017,12,읍면동,경기도 광주시 남종면,1601,60,90,115,129,195,326,320,246,105,15,0,825,28,50,55,72,111,176,168,118,42,5,0,776,32,40,60,57,84,150,152,128,63,10,0
2017,12,읍면동,경기도 광주시 남한산성면,2919,240,229,268,273,457,544,450,287,140,29,2,1534,111,118,143,151,267,306,240,140,52,6,0,1385,129,111,125,122,190,238,210,147,88,23,2
2017,12,읍면동,경기도 광주시 도척면,9091,640,685,957,1075,1453,1756,1381,745,330,66,3,4983,353,361,551,616,866,999,736,356,132,12,1,4108,287,324,406,459,587,757,645,389,198,54,2
2017,12,읍면동,경기도 광주시 송정동,59471,5638,5915,7810,9460,10638,10273,5954,2704,931,138,10,30113,2855,2975,4140,4967,5472,5092,3027,1225,331,27,2,29358,2783,2940,3670,4493,5166,5181,2927,1479,600,111,8
2017,12,읍면동,경기도 광주시 오포읍,97386,11076,8262,11677,20461,16382,14069,9249,4485,1466,249,10,49557,5690,4243,6007,10813,8658,6918,4493,2170,507,54,4,47829,5386,4019,5670,9648,7724,7151,4756,2315,959,195,6
2017,12,읍면동,경기도 광주시 초월읍,42451,4289,4883,4647,6440,7822,6905,4284,2285,793,100,3,22123,2203,2529,2462,3377,4172,3742,2257,1087,277,17,0,20328,2086,2354,2185,3063,3650,3163,2027,1198,516,83,3
2017,12,읍면동,경기도 광주시 퇴촌면,14053,1167,1187,1134,1686,2271,2466,2379,1227,463,67,6,7158,605,644,629,866,1255,1213,1165,610,158,12,1,6895,562,543,505,820,1016,1253,1214,617,305,55,5
2017,12,시군,경기도 구리시 ,200042,17430,21421,27814,28766,35683,34867,19153,10533,3790,521,64,99390,8932,11102,14332,14385,17441,17599,9516,4624,1321,116,22,100652,8498,10319,13482,14381,18242,17268,9637,5909,2469,405,42
2017,12,읍면동,경기도 구리시 갈매동,21568,3177,1470,2492,4845,3235,3089,2033,898,279,49,1,10652,1602,728,1253,2416,1650,1457,1024,436,77,8,1,10916,1575,742,1239,2429,1585,1632,1009,462,202,41,0
